21111098	R
239548513	D
18061669	R
2891210047	R
1080844782	D
2964949642	R
5558312	R
968650362	R
476256944	D
30354991	D
45645232	D
235217558	R
278124059	D
150078976	D
249787913	D
15324851	D
15745368	R
131546062	R
1397501864	R
29495695	R
47747074	D
92186819	D
600463589	R
247334603	D
1058520120	D
234128524	R
1080870981877534720	R
10615232	R
2856787757	R
75364211	R
18632666	R
1249982359	R
216881337	R
55677432	R
816683274076614656	R
19726613	R
109071031	D
18137749	D
357606935	D
1129029661	D
20113797	D
145292853	D
33537967	D
47724293	D
264219447	R
983348251972816896	R
21269970	R
2352629311	R
515822213	D
11651202	R
323490669	R
2962923040	R
811313565760163844	D
4749863113	D
14125897	D
946549322	D
18695134	D
15808765	D
60828944	D
1099199839	D
17494010	D
72198806	D
21157904	R
2964174789	R
382791093	R
28267055	R
43910797	D
18915145	R
7270292	R
225921757	R
250188760	D
223166587	D
171598736	D
221162525	R
486694111	D

